Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Culture is Living,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Fossils Uncovered,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Northwest Native Art,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Our Material World,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Apollo,Ongoing,The Museum of Flight,Museums,South Seattle,,,Weather data not available
Art and Life Along the Northwest Coast,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Washington: My Home,Ongoing,Washington State History Museum,Museums,South,47.6605211,-122.31156049949824,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Sensory-Friendly Programs,Ongoing,MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Dale Chihuly at Tacoma Art Museum,Ongoing,Tacoma Art Museum,Museums,South,,,Weather data not available
Be/longing: Contemporary Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Porcelain Room,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Life on the Edge,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tropical Pacific,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Underwater Dome,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Meet the Animals,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,47.669143399999996,-122.35096188536495,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,,,Weather data not available
Savor Seattle Signature Tour: Pike Place Market,Ongoing,Pike Place Market,Tours & Attractions,Downtown,47.60939675,-122.34141017673986,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Untold Stories: World War II at 75,Ongoing,The Museum of Flight,Museums,South Seattle,,,Weather data not available
Bezos Center for Innovation,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Maritime Seattle,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
True Northwest: The Seattle Journey,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing,Tacoma Art Museum,Museums,South,,,Weather data not available
Winter in the West,Ongoing,Tacoma Art Museum,Museums,South,,,Weather data not available
Ballard Farmers Market – Sunday,Ongoing,Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,,,Weather data not available
Capitol Hill Farmers Market – Sunday,Ongoing,Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,47.618892450000004,-122.32016705491071,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
University District Farmers Market,Ongoing,University District Farmers Market,Festivals & Special Events,University District,,,Weather data not available
Fremont Sunday Market,Ongoing,Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,,,Weather data not available
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing,Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Boundless: Stories of Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Kenzan Tsutakawa-Chinn: Gather,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Art Walk Edmonds | Every Third Thursday,Ongoing,Cascadia Art Museum,Visual Arts & Galleries,North,,,Weather data not available
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Show Me Seattle Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.6191101,-122.33653138239433,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
LeMay – America’s Car Museum,Ongoing,LeMay - America's Car Museum,Museums,South,,,Weather data not available
History Link Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.6191101,-122.33653138239433,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
West Seattle Farmers Market – Sundays,Ongoing,West Seattle Farmers Market,Festivals & Special Events,West Seattle,47.5620654,-122.3869194,"Rain. Cloudy, with a high near 55. South wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing,Washington State History Museum,Museums,South,47.6605211,-122.31156049949824,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Pioneer Square First Thursday Art Walk,Ongoing,Pioneer Square,Visual Arts & Galleries,Pioneer Square,47.6027217,-122.3313539,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Deities and Demons: Supernatural in Japanese Art,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
American Art: The Stories We Carry,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Pacific Species,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Reverberations: Contemporary Art and Modern Classics,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
75 Years of Porsche,Ongoing,LeMay - America's Car Museum,Museums,South,,,Weather data not available
Manazma Sheen,Ongoing,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
